,zipcode,FIPS,gentrification_score
478,78227,48,0.1878927762065069
479,41017,21,1.5061213258154054
480,77064,48,0.7982433232638244
481,30309,13,2.7615128440412646
482,30506,13,3.53391958879134
483,33177,12,-0.35499784722482397
484,19808,10,10.48673520741965
485,21236,24,1.2147674381020104
486,21220,24,0.5754642349214557
487,75019,48,
488,23228,51,1.2975622591688907
489,30736,13,1.6585734137187749
490,34231,12,1.1522037269911092
491,72076,5,0.7607806341802825
492,70737,22,3.8570482421474757
493,28376,37,-2.510585918266862
494,33461,12,0.8210924059550484
495,33445,12,0.41800137703907003
496,21804,24,0.20108559466387382
497,33417,12,0.09837906163570322
498,32907,12,-0.34385095819260875
499,20747,24,0.13723283732869973
500,34207,12,0.8523619028423461
501,24153,51,8.158772246322695
502,33917,12,0.8421833888280913
503,23224,51,0.6561372686340866
504,21230,24,2.1558548548710337
505,28105,37,1.087310483439069
506,28213,37,-0.1060146585171329
507,35401,1,0.6369484651422975
508,24401,51,0.41118507048484704
509,19805,10,5.072974333165574
510,40299,21,0.41935605158605904
511,21702,24,0.5407255707070997
512,34609,12,0.3194957898404739
513,40356,21,1.394293497741774
514,32304,12,1.880972515016893
515,35216,1,2.064968971874156
516,21093,24,1.5805518294653824
517,78412,48,0.5200149548792856
518,33410,12,1.136110055026285
519,19701,10,0.4428787116255869
520,21701,24,0.8607509364072242
521,30328,13,1.8939555598329383
522,28212,37,0.39069662409288136
523,32955,12,1.497728753337943
524,39110,28,2.297409656451921
525,39564,28,-1.2458629770842309
526,33040,12,1.0637066251917597
527,77004,48,2.0535951656336366
528,32404,12,-0.34421035010522383
529,30039,13,-0.1707483410851695
530,40291,21,1.1445186679868136
531,33484,12,0.40360265850843635
532,30339,13,3.222540997887671
533,20748,24,0.4548921196266057
534,28054,37,0.2528290610594161
535,32207,12,1.0824493751388022
536,32712,12,1.4812682960935808
537,79925,48,7.8628026412325625
538,31909,13,0.35946248600223984
539,40219,21,1.0305931895374045
540,27292,37,2.0019557145491955
541,27893,37,0.2881225024346017
542,28304,37,5.7031019202363415
543,72756,5,0.6620465091037364
544,33196,12,1.7642450146824793
545,30120,13,1.8718201021151477
546,32714,12,-0.05080495145267839
547,70769,22,0.6038074607495904
548,32507,12,1.1544066167085965
549,75050,48,
550,32818,12,0.5712300310769095
551,33844,12,1.1398640370374387
552,38116,47,0.797962462701061
553,33624,12,1.5253952927401302
554,73112,40,0.9456084023386442
555,32526,12,0.9075563535745024
556,29203,45,-0.19854929208942637
557,22202,51,0.11818879684726735
558,33446,12,1.4044963212419643
559,76021,48,
560,32811,12,-0.08413213114492524
561,33771,12,0.0790667606820259
562,78109,48,0.6250406105433947
563,38134,47,-1.0975781438517818
564,70570,22,1.5905950947461827
565,77388,48,0.8006670163661896
566,77055,48,1.0781192842593912
567,33928,12,3.072967844086898
568,30126,13,0.6847489351251869
569,76502,48,0.8839272059948013
570,30680,13,0.28860057114127086
571,33610,12,0.6884740063565955
572,21045,24,1.3395973398409737
573,34145,12,0.4299955802190254
574,22901,51,1.6340128701840733
575,36608,1,1.2988408177446469
576,32566,12,1.442199271733268
577,27295,37,0.6029447075649934
578,27516,37,2.1278055854546984
579,30519,13,1.6258112047894888
580,32259,12,1.925353145841323
581,22033,51,0.739191912808741
582,38127,47,0.379967159277504
583,34746,12,0.40166307772416754
584,27127,37,0.005456513190634868
585,27105,37,0.9285816197631561
586,32738,12,-4.6565689154539704
587,32034,12,0.7176381121587145
588,33016,12,0.7290721692541938
589,34786,12,0.5298695898301777
590,70118,22,0.4631091691373373
591,33611,12,2.0260763565841455
592,74136,40,1.002539320784445
593,32127,12,1.1670996700118266
594,72703,5,0.8520988793313969
595,39047,28,2.355975060542524
596,20148,51,1.1324719922818829
597,38125,47,-0.253311439518336
598,33428,12,0.9641294220182527
599,76522,48,-0.2945882397920147
600,30134,13,0.019998241110555044
601,70808,22,-0.33362850423972884
602,70458,22,2.495532645494247
603,78413,48,1.6745879725895505
604,38671,28,-0.2632923247201071
605,78665,48,0.6246724202049228
606,36301,1,0.7251086647438765
607,28411,37,1.0808376536410935
608,30165,13,2.4860223188954023
609,78852,48,1.0
610,72450,5,2.3872070930968965
611,70056,22,0.1684112464350214
612,20785,24,0.74184265989571
613,75165,48,
614,71203,22,-0.5626376070276881
615,33172,12,0.6548127884058473
616,27520,37,0.5850838334881098
617,76107,48,
618,34232,12,1.7221538205383236
619,30152,13,1.6516867915699414
620,30038,13,0.47774424088156914
621,79705,48,0.8706804088561827
622,70605,22,1.8412759880920695
623,33155,12,1.643208071095016
624,33193,12,1.0746414139894147
625,33014,12,-0.2970375233933873
626,28115,37,1.086448137462315
627,30228,13,1.0166281425629666
628,32547,12,0.7261694103886622
629,70058,22,-1.0505902613525302
630,20743,24,0.4222703739960114
631,23111,51,1.667265123777208
632,70433,22,1.8209302831594387
633,30084,13,2.0367674266949627
634,30311,13,-0.2808149963577711
635,40220,21,1.3933624935768079
636,27704,37,0.932102578513974
637,33613,12,0.6814909021368163
638,73170,40,1.5492181143999968
639,37207,47,0.4887781276567795
640,34653,12,0.5593992090038874
641,33880,12,0.7523240559031128
642,40515,21,0.6111958870579587
643,30815,13,-0.6900281713268221
644,73110,40,0.403118035714496
645,27330,37,0.1801906420864183
646,30813,13,5.207415883702194
647,32506,12,0.571505140410764
648,33604,12,0.8864788002013279
649,71291,22,0.7203602802179501
650,79423,48,1.8571944843226245
651,30019,13,2.643126309833354
652,78526,48,2.82235955917515
653,33147,12,0.1815554153811947
654,30115,13,2.7831139976072463
655,33133,12,1.8376273162294672
656,78414,48,1.4949757751441717
657,21208,24,0.6620874814144422
658,30316,13,4.151466930389462
659,78749,48,1.129479232120646
660,23231,51,0.36014746749228865
661,34983,12,0.5153925604664028
662,20110,51,0.4836120203129316
663,31210,13,-3.540092776673318
664,32707,12,0.3056981694246623
665,70601,22,0.2591064210857516
